|        x         |        y         |  zx   |  nx   |  zy   |  ny   |   f   |  no   |       out        |  zr   |  ng   |
| 0101001111000111 | 0010011111111111 |   1   |   0   |   1   |   0   |   1   |   0   | 0000000000000000 |   1   |   0   |
| 0101001111000111 | 0010011111111111 |   1   |   1   |   1   |   1   |   1   |   1   | 0000000000000001 |   0   |   0   |
| 0101001111000111 | 0010011111111111 |   1   |   1   |   1   |   0   |   1   |   0   | 1111111111111111 |   0   |   1   |
| 0101001111000111 | 0010011111111111 |   0   |   0   |   1   |   1   |   0   |   0   | 0101001111000111 |   0   |   0   |
| 0101001111000111 | 0010011111111111 |   1   |   1   |   0   |   0   |   0   |   0   | 0010011111111111 |   0   |   0   |
| 0101001111000111 | 0010011111111111 |   0   |   0   |   1   |   1   |   0   |   1   | 1010110000111000 |   0   |   1   |
| 0101001111000111 | 0010011111111111 |   1   |   1   |   0   |   0   |   0   |   1   | 1101100000000000 |   0   |   1   |
| 0101001111000111 | 0010011111111111 |   0   |   0   |   1   |   1   |   1   |   1   | 1010110000111001 |   0   |   1   |
| 0101001111000111 | 0010011111111111 |   1   |   1   |   0   |   0   |   1   |   1   | 1101100000000001 |   0   |   1   |
| 0101001111000111 | 0010011111111111 |   0   |   1   |   1   |   1   |   1   |   1   | 0101001111001000 |   0   |   0   |
| 0101001111000111 | 0010011111111111 |   1   |   1   |   0   |   1   |   1   |   1   | 0010100000000000 |   0   |   0   |
| 0101001111000111 | 0010011111111111 |   0   |   0   |   1   |   1   |   1   |   0   | 0101001111000110 |   0   |   0   |
| 0101001111000111 | 0010011111111111 |   1   |   1   |   0   |   0   |   1   |   0   | 0010011111111110 |   0   |   0   |
| 0101001111000111 | 0010011111111111 |   0   |   0   |   0   |   0   |   1   |   0   | 0111101111000110 |   0   |   0   |
| 0101001111000111 | 0010011111111111 |   0   |   1   |   0   |   0   |   1   |   1   | 0010101111001000 |   0   |   0   |
| 0101001111000111 | 0010011111111111 |   0   |   0   |   0   |   1   |   1   |   1   | 1101010000111000 |   0   |   1   |
| 0101001111000111 | 0010011111111111 |   0   |   0   |   0   |   0   |   0   |   0   | 0000001111000111 |   0   |   0   |
| 0101001111000111 | 0010011111111111 |   0   |   1   |   0   |   1   |   0   |   1   | 0111011111111111 |   0   |   0   |
| 0101001111000111 | 1110011111111111 |   1   |   0   |   1   |   0   |   1   |   0   | 0000000000000000 |   1   |   0   |
| 0101001111000111 | 1110011111111111 |   1   |   1   |   1   |   1   |   1   |   1   | 0000000000000001 |   0   |   0   |
| 0101001111000111 | 1110011111111111 |   1   |   1   |   1   |   0   |   1   |   0   | 1111111111111111 |   0   |   1   |
| 0101001111000111 | 1110011111111111 |   0   |   0   |   1   |   1   |   0   |   0   | 0101001111000111 |   0   |   0   |
| 0101001111000111 | 1110011111111111 |   1   |   1   |   0   |   0   |   0   |   0   | 1110011111111111 |   0   |   1   |
| 0101001111000111 | 1110011111111111 |   0   |   0   |   1   |   1   |   0   |   1   | 1010110000111000 |   0   |   1   |
| 0101001111000111 | 1110011111111111 |   1   |   1   |   0   |   0   |   0   |   1   | 0001100000000000 |   0   |   0   |
| 0101001111000111 | 1110011111111111 |   0   |   0   |   1   |   1   |   1   |   1   | 1010110000111001 |   0   |   1   |
| 0101001111000111 | 1110011111111111 |   1   |   1   |   0   |   0   |   1   |   1   | 0001100000000001 |   0   |   0   |
| 0101001111000111 | 1110011111111111 |   0   |   1   |   1   |   1   |   1   |   1   | 0101001111001000 |   0   |   0   |
| 0101001111000111 | 1110011111111111 |   1   |   1   |   0   |   1   |   1   |   1   | 1110100000000000 |   0   |   1   |
| 0101001111000111 | 1110011111111111 |   0   |   0   |   1   |   1   |   1   |   0   | 0101001111000110 |   0   |   0   |
| 0101001111000111 | 1110011111111111 |   1   |   1   |   0   |   0   |   1   |   0   | 1110011111111110 |   0   |   1   |
| 0101001111000111 | 1110011111111111 |   0   |   0   |   0   |   0   |   1   |   0   | 0011101111000110 |   0   |   0   |
| 0101001111000111 | 1110011111111111 |   0   |   1   |   0   |   0   |   1   |   1   | 0110101111001000 |   0   |   0   |
| 0101001111000111 | 1110011111111111 |   0   |   0   |   0   |   1   |   1   |   1   | 1001010000111000 |   0   |   1   |
| 0101001111000111 | 1110011111111111 |   0   |   0   |   0   |   0   |   0   |   0   | 0100001111000111 |   0   |   0   |
| 0101001111000111 | 1110011111111111 |   0   |   1   |   0   |   1   |   0   |   1   | 1111011111111111 |   0   |   1   |
